WikidataID,itemLabel,en_description,sitelinks
Q1070940,Asia-Pacific,"part of the world in or near the Western Pacific Ocean; typically includes East Asia, South Asia, Southeast Asia, and Oceania",44
Q23522,Balkans,geopolitical and cultural region of southeastern Europe,170
Q19771,G20,group of finance ministers and central bank governors,94
Q1065,United Nations,global international and intergovernmental organization,277
Q12585,Latin America,region of the Americas where Romance languages are primarily spoken,153
Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,109
Q33761,Arab Spring,protests and revolutions in the Arab world,105
Q58198,Ahmet Davutoğlu,Turkish politician,84
Q81299,Organization for Security and Co-operation in Europe,security-oriented intergovernmental organization,86
Q10686,Belfast,"city of the United Kingdom, capital of Northern Ireland",151
Q929154,Brookings Institution,American think tank,21
Q170315,Abbottabad,city in Khyber Pakhtunkhwa of Pakistan,62
Q152220,Kurdistan Workers' Party,Kurdish nationalist and separatist armed organization,75
Q362,World War II,1939–1945 global war between the Allied and Axis Powers,257
Q1189483,Dennis Ross,American diplomat,12
Q5838,Kabul,capital of Afghanistan,197
Q204344,World Food Programme,United Nations branch related to food-assistance,75
Q1218,Jerusalem,"city in Western Asia, claimed by bother Israel and the Palestinian Authority as its capital",268
