WikidataID,itemLabel,sitelinks
Q19878,Muammar Gaddafi,169
Q57272,Paul Biya,72
Q273812,Jaap de Hoop Scheffer,43
Q925915,Marc Perrin de Brichambaut,11
Q2755794,Moumouni Adamou Djermakoye,6
Q50377155,Carolyn McAskie,3
Q557631,Luis Moreno Ocampo,21
Q6712478,M. Cherif Bassiouni,9
Q15029,Hu Jintao,115
Q57306,Jalal Talabani,68
Q57356,Yahya Jammeh,66
Q192778,Rafic Hariri,62
Q11509,Xanana GusmÃ£o,58
Q982410,Hoshyar Zebari,16
Q11665,JosÃ© Ramos-Horta,70
Q9458,Muhammad,244
Q529727,Jean-Marc de La SabliÃ¨re,6
Q292936,Ann Veneman,22
Q1257,Boutros Boutros-Ghali,87
Q9960,Ronald Reagan,301
Q18391,Elie Wiesel,99
Q6389801,Kenneth Adelman,3
Q441718,Tadatoshi Akiba,11
Q6273246,Jonathan Granoff,2
Q937,Albert Einstein,290
Q6783841,Masood Khan,7
Q2446578,Frank Majoor,2
Q43330,Mikheil Saakashvili,121
Q5234727,David Harland,5
Q6294190,JosÃ© Victor da Silva Ãngelo,1
Q3845693,Marcello Spatafora,5
Q6416133,Kirsti Lintonen,2
Q23844,George Clooney,120
Q13909,Angelina Jolie,157
Q14949590,Augustine Mahiga,8
Q23682360,Adrienne Germain,1
Q2883934,Barbara Crossette,4
Q273691,Rosalyn Higgins,14
Q5732719,Heraldo MuÃ±oz,5
Q108443129,Ion Botnaru,0
Q697184,Per Stig MÃ¸ller,17
Q3167909,Jean-Maurice Ripert,8
Q262742,Hilary Benn,21
Q1708279,Joseph Wresinski,19
Q86817721,Khaled Abdel-Aziz,0
Q71209513,Fernando MartÃ­n Valenzuela Marzo,2
Q219861,Paul Wolfowitz,49
Q7606306,Stefan Tafrov,7
Q349785,Paul Volcker,32
Q167444,John Garang,38
Q57291,Mwai Kibaki,62
Q49090,Charles Taylor,47
Q57878,Gilbert Houngbo,16
Q11860,Silvio Berlusconi,147
Q58141,RaÅit Meredow,19
Q336046,Robert Badinter,32
Q12946,Michel Rocard,48
Q2363302,SÃ¸ren Jessen-Petersen,8
Q718760,Theodor Meron,15
Q3479698,Sergio de Queiroz Duarte,5
Q11838367,Zbigniew WÅosowicz,4
Q61753407,Geir O. Pedersen,5
Q221479,Gilberto Gil,47
Q200678,Queen Rania of Jordan,67
Q187413,Ãlvaro Uribe VÃ©lez,55
Q190572,Vicente Fox Quesada,66
Q16628,Wen Jiabao,84
Q5638309,Hafeez A. Pasha,1
Q1269997,Salim Ahmed Salim,19
Q359800,Adnan Z. Amin,4
Q19581,Rafael Correa Delgado,168
Q12290253,Petko Draganov,3
Q1267,Dag HammarskjÃ¶ld,115
Q2914838,Abraham Foxman,13
Q273076,Wynton Marsalis,45
Q133050,Susan Sarandon,96
Q37459,Nicole Kidman,123
Q2673879,Eveline Herfkens,5
Q146496,Stjepan MesiÄ,70
Q57456,Anote Tong,42
Q58083,Elmar Mammadyarov,22
Q713715,Farouk al-Sharaa,15
Q277183,Pascal Lamy,32
Q182367,JosÃ© SÃ³crates,55
Q7369538,Ross Mountain,2
Q242078,Navanethem Pillay,32
Q20751661,Francesco Frangialli,2
Q12409231,Malcolm Hoenlein,4
Q47619,Nadine Gordimer,112
Q55637,JosÃ© MarÃ­a Aznar,70
Q130852,Jun'ichirÅ Koizumi,83
Q539456,Satya Nandan,4
Q3189068,Julia V. Taft,3
Q60206,Ariel Sharon,111
Q333066,Paddy Ashdown,39
Q6120791,Jacques Paul Klein,4
Q209617,Jean-Bertrand Aristide,45
Q5615474,Hans Dahlgren,11
Q87341,Gerhard Pfanzelter,3
Q3148110,Iftekhar Ahmed Chowdhury,4
Q49086,Simon Wiesenthal,61
Q1522527,Asma Jahangir,36
Q453868,John Negroponte,27
Q122285,Carla Del Ponte,41
