,WikidataID,itemLabel,sitelinks
437,Q885,Józef Klemens Piłsudski,91
438,Q1047,Nehru,174
439,Q1047,Nehru,174
440,Q1047,Nehru,174
441,Q1047,Nehru,174
442,Q1047,Pandit Nehru,174
443,Q1047,Pandit Nehru,174
444,Q1047,Pandit Nehru,174
445,Q1047,Pandit Nehru,174
446,Q1047,Chacha Nehru,174
447,Q1047,Chacha Nehru,174
448,Q1047,Chacha Nehru,174
449,Q1047,Chacha Nehru,174
450,Q1047,Jawaharlal Motilal Nehru,174
451,Q1047,Jawaharlal Motilal Nehru,174
452,Q1047,Jawaharlal Motilal Nehru,174
453,Q1047,Jawaharlal Motilal Nehru,174
454,Q1047,Panditji,174
455,Q1047,Panditji,174
456,Q1047,Panditji,174
457,Q1047,Panditji,174
458,Q2038,François Marie Adrien Maurice Mitterrand,130
459,Q2042,Charles André Joseph Marie de Gaulle,203
460,Q2042,General Charles Andre Joseph Marie de Gaulle,203
461,Q2105,Jacques René Chirac,153
462,Q2124,Giscard d'Estaing,114
463,Q1316,Saddam Hussein Abd al-Majid al-Tikriti,160
464,Q1319,Federico Errazuriz Echaurren,22
465,Q1322,Jose Manuel Balmaceda,35
466,Q1323,Domingo Santa Maria,24
467,Q1324,Anibal Pinto Garmendia,25
468,Q1326,Federico Marcos del Rosario Errázuriz Zañartu,22
469,Q1394,Lenin,275
470,Q1394,Vladimir Ilyich Lenin,275
471,Q9545,Rt. Hon. Tony Blair,150
472,Q9559,John Roy Major,101
473,Q9559,John Roy Major,101
474,Q9559,John Roy Major,101
475,Q9559,John Roy Major,101
476,Q9559,Rt. Hon. Sir John Major,101
477,Q9559,Rt. Hon. Sir John Major,101
478,Q9559,Rt. Hon. Sir John Major,101
479,Q9559,Rt. Hon. Sir John Major,101
480,Q9559,Sir John Major,101
481,Q9559,Sir John Major,101
482,Q9559,Sir John Major,101
483,Q9559,Sir John Major,101
484,Q9576,Jim Callaghan,87
485,Q9576,Jim Callaghan,87
486,Q9576,Jim Callaghan,87
487,Q9576,Jim Callaghan,87
488,Q9576,"James Callaghan, Baron Callaghan",87
489,Q9576,"James Callaghan, Baron Callaghan",87
490,Q9576,"James Callaghan, Baron Callaghan",87
