"","item","itemLabel","bioid"
"339","http://www.wikidata.org/entity/Q370253","Bert M. Fernald","F000084"
"340","http://www.wikidata.org/entity/Q370596","George Poindexter","P000402"
"341","http://www.wikidata.org/entity/Q370631","Albion Parris","P000079"
"342","http://www.wikidata.org/entity/Q370638","Edwin C. Burleigh","B001105"
"343","http://www.wikidata.org/entity/Q370652","John Fairfield","F000006"
"344","http://www.wikidata.org/entity/Q370780","William Langer","L000070"
"345","http://www.wikidata.org/entity/Q370935","John Marshall Butler","B001180"
"346","http://www.wikidata.org/entity/Q371025","Larry Craig","C000858"
"347","http://www.wikidata.org/entity/Q371031","Jon Kyl","K000352"
"348","http://www.wikidata.org/entity/Q371052","Fred Andrew Seaton","S000214"
"349","http://www.wikidata.org/entity/Q371121","John E. Kenna","K000099"
"350","http://www.wikidata.org/entity/Q371148","Arthur Pue Gorman","G000326"
"351","http://www.wikidata.org/entity/Q371159","Daniel T. Jewett","J000103"
"352","http://www.wikidata.org/entity/Q371165","Ray Greene","G000427"
"353","http://www.wikidata.org/entity/Q371537","Henry P. Baldwin","B000089"
"354","http://www.wikidata.org/entity/Q372258","Nicholas Ware","W000148"
"355","http://www.wikidata.org/entity/Q372316","Clarence Dill","D000345"
"356","http://www.wikidata.org/entity/Q372573","Matt Whitaker Ransom","R000062"
"357","http://www.wikidata.org/entity/Q372686","Edward Gurney","G000531"
"358","http://www.wikidata.org/entity/Q372848","Joseph Lane","L000062"
"359","http://www.wikidata.org/entity/Q373179","Alpheus Felch","F000063"
"360","http://www.wikidata.org/entity/Q373284","George Earle Chamberlain","C000277"
"361","http://www.wikidata.org/entity/Q373389","Ovington Weller","W000276"
"362","http://www.wikidata.org/entity/Q373534","James Hillhouse","H000618"
"363","http://www.wikidata.org/entity/Q374427","David Davis","D000097"
"364","http://www.wikidata.org/entity/Q374762","John Hoeven","H001061"
"365","http://www.wikidata.org/entity/Q374906","Jonathan Bourne, Jr.","B000670"
"366","http://www.wikidata.org/entity/Q375214","John Leeds Kerr","K000139"
"367","http://www.wikidata.org/entity/Q375231","George Vickers","V000095"
"368","http://www.wikidata.org/entity/Q375358","Edwin L. Mechem","M000623"
